experiment_name,regime,M,k,radius_mode,interior_count,full_matching_l2,interior_matching_l2,boundary_matching_l2,boundary_energy_ratio,raw_to_ref_l2,ref_to_ideal_l2,gap_ratio
exp1_large_M,uniform_h=1.00,20,2,k,16,7.67740635388437,5.682604199110948,5.162419765856971,0.4521448351727708,n/a,n/a,n/a
exp1_large_M,uniform_h=1.00,20,4,k,12,3.3692299216818973,2.0493399486211827,2.6743066466173864,0.6300298257342164,n/a,n/a,n/a
exp1_large_M,uniform_h=1.00,20,6,k,8,1.3726980281327,0.7081511063027203,1.1759344739744797,0.7338650839879234,n/a,n/a,n/a
exp1_large_M,uniform_h=1.00,20,8,k,4,0.5973142679296936,0.1775662812848028,0.5703109243413386,0.9116278906183879,n/a,n/a,n/a
exp1_large_M,uniform_h=1.00,20,10,k,0,0.2795068019467623,0.0,0.2795068019467623,1.0,n/a,n/a,n/a
exp1_large_M,uniform_h=1.00,20,12,k,0,0.1516391258624886,0.0,0.1516391258624886,1.0,n/a,n/a,n/a
exp1_large_M,uniform_h=1.00,40,2,k,36,12.848387310516639,10.953779723776439,6.715338133260986,0.27317347735297026,n/a,n/a,n/a
exp1_large_M,uniform_h=1.00,40,4,k,32,5.321797659744725,3.6039803755980175,3.9157190634120824,0.5413851442428133,n/a,n/a,n/a
exp1_large_M,uniform_h=1.00,40,6,k,28,2.398754946069741,1.5721055828925843,1.8117696673506858,0.5704718282171118,n/a,n/a,n/a
exp1_large_M,uniform_h=1.00,40,8,k,24,1.1653062305250257,0.7610197198825157,0.8824894315799945,0.573507219397768,n/a,n/a,n/a
exp1_large_M,uniform_h=1.00,40,10,k,20,0.594577304987746,0.37571309682253146,0.46082734346229315,0.6007030323373781,n/a,n/a,n/a
exp1_large_M,uniform_h=1.00,40,12,k,16,0.3109477996209252,0.1904651117771648,0.24578766300367305,0.6248059902236189,n/a,n/a,n/a
exp1_large_M,uniform_h=1.00,80,2,k,76,37.77777862714613,34.83567421136104,14.616304602791155,0.1496932906699105,n/a,n/a,n/a
exp1_large_M,uniform_h=1.00,80,4,k,72,10.999038336176682,9.839000351383781,4.916596018197361,0.19981110368419333,n/a,n/a,n/a
exp1_large_M,uniform_h=1.00,80,6,k,68,4.166449013261909,3.632138942762798,2.0412898080814195,0.24003644786632497,n/a,n/a,n/a
exp1_large_M,uniform_h=1.00,80,8,k,64,1.824386147146644,1.5679925140109585,0.9326222653926782,0.2613232359051835,n/a,n/a,n/a
exp1_large_M,uniform_h=1.00,80,10,k,60,0.8953249584017149,0.718222336990299,0.5345684762359505,0.3564883213436482,n/a,n/a,n/a
exp1_large_M,uniform_h=1.00,80,12,k,56,0.45937968729694784,0.3643747723884513,0.27975117935033966,0.37085170202577905,n/a,n/a,n/a
exp1_large_M,uniform_h=1.00,120,2,k,116,29.986678144500974,29.198449361703783,6.8301845519658,0.05188097873401153,n/a,n/a,n/a
exp1_large_M,uniform_h=1.00,120,4,k,112,10.693365850411698,10.19708339506752,3.2198700975022834,0.09066670870510654,n/a,n/a,n/a
exp1_large_M,uniform_h=1.00,120,6,k,108,4.987154049820822,4.733733976581262,1.5695439323588178,0.09904701364190001,n/a,n/a,n/a
exp1_large_M,uniform_h=1.00,120,8,k,104,2.5735809497919266,2.391287991009918,0.951346755491217,0.1366476025308704,n/a,n/a,n/a
exp1_large_M,uniform_h=1.00,120,10,k,100,1.3306613958662254,1.2320957358556641,0.5025931238436723,0.14265860398698113,n/a,n/a,n/a
exp1_large_M,uniform_h=1.00,120,12,k,96,0.6915352482062133,0.6232278166309287,0.29967997612298797,0.18779620338878636,n/a,n/a,n/a
exp2_more_trials,uniform_h=1.00,20,2,k,16,7.67740635388437,5.682604199110948,5.162419765856971,0.4521448351727708,n/a,n/a,n/a
exp2_more_trials,uniform_h=1.00,20,4,k,12,3.3692299216818973,2.0493399486211827,2.6743066466173864,0.6300298257342164,n/a,n/a,n/a
exp2_more_trials,uniform_h=1.00,20,6,k,8,1.3726980281327,0.7081511063027203,1.1759344739744797,0.7338650839879234,n/a,n/a,n/a
exp2_more_trials,uniform_h=1.00,20,8,k,4,0.5973142679296936,0.1775662812848028,0.5703109243413386,0.9116278906183879,n/a,n/a,n/a
exp2_more_trials,uniform_h=1.00,20,10,k,0,0.2795068019467623,0.0,0.2795068019467623,1.0,n/a,n/a,n/a
exp2_more_trials,uniform_h=1.00,20,12,k,0,0.1516391258624886,0.0,0.1516391258624886,1.0,n/a,n/a,n/a
exp2_more_trials,uniform_h=1.00,20,2,k,16,6.397550680700224,4.751845162252023,4.283529183524954,0.4483074851877045,n/a,n/a,n/a
exp2_more_trials,uniform_h=1.00,20,4,k,12,3.1756838533943688,2.1451744913632704,2.3416221595966418,0.5436997294116307,n/a,n/a,n/a
exp2_more_trials,uniform_h=1.00,20,6,k,8,1.6336129366550305,0.9904829269636991,1.2990899884919813,0.6323829378415957,n/a,n/a,n/a
exp2_more_trials,uniform_h=1.00,20,8,k,4,0.8079016451247307,0.24942138953312035,0.7684360992552431,0.9046873808891229,n/a,n/a,n/a
exp2_more_trials,uniform_h=1.00,20,10,k,0,0.41535660027680227,0.0,0.41535660027680227,1.0,n/a,n/a,n/a
exp2_more_trials,uniform_h=1.00,20,12,k,0,0.22423365838271586,0.0,0.22423365838271586,1.0,n/a,n/a,n/a
exp2_more_trials,uniform_h=1.00,20,2,k,16,8.851274047411156,5.988279009763503,6.518095332503207,0.5422878093350137,n/a,n/a,n/a
exp2_more_trials,uniform_h=1.00,20,4,k,12,3.847245797934322,2.0511402928359743,3.254861552943236,0.715756289272034,n/a,n/a,n/a
exp2_more_trials,uniform_h=1.00,20,6,k,8,1.6123142237427053,0.7355405987554746,1.4347603227248376,0.7918799472627254,n/a,n/a,n/a
exp2_more_trials,uniform_h=1.00,20,8,k,4,0.771870619607283,0.30351356539005997,0.7096927286066448,0.8453794576676422,n/a,n/a,n/a
exp2_more_trials,uniform_h=1.00,20,10,k,0,0.38989001098998155,0.0,0.38989001098998155,1.0,n/a,n/a,n/a
exp2_more_trials,uniform_h=1.00,20,12,k,0,0.2013663589860744,0.0,0.2013663589860744,1.0,n/a,n/a,n/a
exp2_more_trials,uniform_h=1.00,20,2,k,16,10.594307001245435,5.0607896874298195,9.307402891045495,0.7718126989210216,n/a,n/a,n/a
